sourceTaxonName,targetTaxonName,interactionTypeName,sourceTaxonPhylumName,targetTaxonPhylumName
Rabies lyssavirus,Molossus molossus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Molossops neglectus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eumops perotis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eumops bonariensis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eumops auripendulus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Cynomops planirostris,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Cynomops abrasus,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Hipposideros commersonii,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Epomops buettikoferi,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Epomophorus gambianus,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Rousettus aegyptiacus,pathogenOf,Negarnaviricota,Chordata
Irkut lyssavirus,Pteropus lylei,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Miniopterus schreibersii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Vespertilio murinus,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Plecotus austriacus,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Plecotus auritus,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Pipistrellus nathusii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Pipistrellus kuhlii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Nyctalus noctula,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Myotis daubentonii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Myotis capaccinii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Myotis blythii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Hypsugo savii,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Barbastella barbastellus,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Pipistrellus pipistrellus,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Myotis myotis,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Rhinolophus ferrumequinum,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Tadarida teniotis,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Rousettus aegyptiacus,pathogenOf,Negarnaviricota,Chordata
Zwiesel bat banyangvirus,Eptesicus nilssonii,hasHost,Negarnaviricota,Chordata
Zwiesel bat banyangvirus,Chiroptera,hasHost,Negarnaviricota,Chordata
Zaria bat coronavirus,Hipposideros commersoni,hasHost,Pisuviricota,Chordata
xi river reovirus,Rousettus leschenaultii,hasHost,Duplornaviricota,Chordata
Vaprio virus,Pipistrellus kuhlii,hasHost,Negarnaviricota,Chordata
Uzun Agach virus,Myotis blythii,hasHost,Negarnaviricota,Chordata
Tylonycteris bat alphacoronavirus,Tylonycteris robustula,hasHost,Pisuviricota,Chordata
Tuhoko virus 3,Rousettus leschenaultii,hasHost,Negarnaviricota,Chordata
Tuhoko virus 2,Rousettus leschenaultii,hasHost,Negarnaviricota,Chordata
Tuhoko virus 1,Rousettus leschenaultii,hasHost,Negarnaviricota,Chordata
Toscana virus,Pipistrellus kuhlii,hasHost,Negarnaviricota,Chordata
Tioman virus,Pteropus hypomelanus,hasHost,Negarnaviricota,Chordata
Tioman virus,Pteropus giganteus,hasHost,Negarnaviricota,Chordata
Teviot virus,Pteropus poliocephalus,hasHost,Negarnaviricota,Chordata
Teviot virus,Pteropus,hasHost,Negarnaviricota,Chordata
Tamana bat virus,Pteronotus parnellii,hasHost,Kitrinoviricota,Chordata
